strategy,month,position,fwd_return,pnl
arbitrage_trust_price,2021-07-01,0.5,0.029759891958028195,0.014879945979014098
buy_hold,2021-08-01,1.0,-0.04660559147949639,-0.04660559147949639
price_math_only,2021-08-01,1.0,-0.04660559147949639,-0.04660559147949639
web_sentiment_only,2021-08-01,1.0,-0.04660559147949639,-0.04660559147949639
wisdom_aligned,2021-08-01,1.0,-0.04660559147949639,-0.04660559147949639
arbitrage_trust_price,2021-08-01,1.0,-0.04660559147949639,-0.04660559147949639
buy_hold,2021-09-01,1.0,0.07016360280976364,0.07016360280976364
price_math_only,2021-09-01,0.0,0.07016360280976364,0.0
web_sentiment_only,2021-09-01,1.0,0.07016360280976364,0.07016360280976364
wisdom_aligned,2021-09-01,0.5,0.07016360280976364,0.03508180140488182
arbitrage_trust_price,2021-09-01,0.0,0.07016360280976364,0.0
buy_hold,2021-10-01,1.0,-0.008034770140313507,-0.008034770140313507
price_math_only,2021-10-01,1.0,-0.008034770140313507,-0.008034770140313507
web_sentiment_only,2021-10-01,0.0,-0.008034770140313507,-0.0
wisdom_aligned,2021-10-01,0.5,-0.008034770140313507,-0.004017385070156754
arbitrage_trust_price,2021-10-01,1.0,-0.008034770140313507,-0.008034770140313507
buy_hold,2021-11-01,1.0,0.046247814395034226,0.046247814395034226
price_math_only,2021-11-01,0.0,0.046247814395034226,0.0
web_sentiment_only,2021-11-01,0.0,0.046247814395034226,0.0
wisdom_aligned,2021-11-01,0.5,0.046247814395034226,0.023123907197517113
arbitrage_trust_price,2021-11-01,0.5,0.046247814395034226,0.023123907197517113
buy_hold,2021-12-01,1.0,-0.05274126428452375,-0.05274126428452375
price_math_only,2021-12-01,1.0,-0.05274126428452375,-0.05274126428452375
web_sentiment_only,2021-12-01,0.0,-0.05274126428452375,-0.0
wisdom_aligned,2021-12-01,0.5,-0.05274126428452375,-0.026370632142261874
arbitrage_trust_price,2021-12-01,0.5,-0.05274126428452375,-0.026370632142261874
buy_hold,2022-01-01,1.0,-0.029517064286520123,-0.029517064286520123
price_math_only,2022-01-01,0.0,-0.029517064286520123,-0.0
web_sentiment_only,2022-01-01,1.0,-0.029517064286520123,-0.029517064286520123
wisdom_aligned,2022-01-01,0.5,-0.029517064286520123,-0.014758532143260061
arbitrage_trust_price,2022-01-01,0.0,-0.029517064286520123,-0.0
buy_hold,2022-02-01,1.0,0.037590407971505035,0.037590407971505035
price_math_only,2022-02-01,0.0,0.037590407971505035,0.0
web_sentiment_only,2022-02-01,1.0,0.037590407971505035,0.037590407971505035
wisdom_aligned,2022-02-01,0.5,0.037590407971505035,0.018795203985752518
arbitrage_trust_price,2022-02-01,0.0,0.037590407971505035,0.0
buy_hold,2022-03-01,1.0,-0.08776907143821644,-0.08776907143821644
price_math_only,2022-03-01,1.0,-0.08776907143821644,-0.08776907143821644
web_sentiment_only,2022-03-01,1.0,-0.08776907143821644,-0.08776907143821644
wisdom_aligned,2022-03-01,1.0,-0.08776907143821644,-0.08776907143821644
arbitrage_trust_price,2022-03-01,1.0,-0.08776907143821644,-0.08776907143821644
buy_hold,2022-04-01,1.0,0.002257127132343273,0.002257127132343273
price_math_only,2022-04-01,0.0,0.002257127132343273,0.0
web_sentiment_only,2022-04-01,1.0,0.002257127132343273,0.002257127132343273
wisdom_aligned,2022-04-01,0.5,0.002257127132343273,0.0011285635661716364
arbitrage_trust_price,2022-04-01,0.0,0.002257127132343273,0.0
buy_hold,2022-05-01,1.0,-0.08246026764919878,-0.08246026764919878
price_math_only,2022-05-01,0.0,-0.08246026764919878,-0.0
web_sentiment_only,2022-05-01,0.0,-0.08246026764919878,-0.0
wisdom_aligned,2022-05-01,0.0,-0.08246026764919878,-0.0
arbitrage_trust_price,2022-05-01,0.0,-0.08246026764919878,-0.0
buy_hold,2022-06-01,1.0,0.09208741594072722,0.09208741594072722
price_math_only,2022-06-01,0.0,0.09208741594072722,0.0
web_sentiment_only,2022-06-01,0.0,0.09208741594072722,0.0
wisdom_aligned,2022-06-01,0.0,0.09208741594072722,0.0
arbitrage_trust_price,2022-06-01,0.0,0.09208741594072722,0.0
buy_hold,2022-07-01,1.0,-0.04080191352086626,-0.04080191352086626
price_math_only,2022-07-01,1.0,-0.04080191352086626,-0.04080191352086626
web_sentiment_only,2022-07-01,0.0,-0.04080191352086626,-0.0
wisdom_aligned,2022-07-01,0.5,-0.04080191352086626,-0.02040095676043313
